Rate date,Base Currency,Conversion Currency,Exchange Rate,Calculation Type
2026-02-02,GBP,AUD,1.9625,Direct
2026-02-02,GBP,CAD,1.8661,Direct
2026-02-02,GBP,CNY,9.464,Direct
2026-02-02,GBP,CZK,28.0904,Direct
2026-02-02,GBP,DKK,8.6314,Direct
2026-02-02,GBP,EUR,1.1557,Direct
2026-02-02,GBP,HKD,10.6434,Direct
2026-02-02,GBP,HUF,440.7729,Direct
2026-02-02,GBP,INR,124.632,Direct
2026-02-02,GBP,ILS,4.2261,Direct
2026-02-02,GBP,JPY,212.148,Direct
2026-02-02,GBP,MYR,5.3724,Direct
2026-02-02,GBP,NZD,2.2743,Direct
2026-02-02,GBP,NOK,13.2397,Direct
2026-02-02,GBP,PLN,4.8799,Direct
2026-02-02,GBP,RON,5.8889,Direct
2026-02-02,GBP,SAR,5.111,Direct
2026-02-02,GBP,SGD,1.7355,Direct
2026-02-02,GBP,ZAR,21.9847,Direct
2026-02-02,GBP,KRW,1983.1171,Direct
2026-02-02,GBP,SEK,12.2207,Direct
2026-02-02,GBP,CHF,1.0651,Direct
2026-02-02,GBP,TWD,43.0892,Direct
2026-02-02,GBP,THB,43.0661,Direct
2026-02-02,GBP,TRY,59.2584,Direct
2026-02-02,GBP,USD,1.3628,Direct
