Rate date,Base Currency,Conversion Currency,Exchange Rate
2026-01-02,EUR,GBP,0.8706
2026-01-02,GBP,AUD,2.018
2026-01-02,GBP,CAD,1.8523
2026-01-02,GBP,CHF,1.0668
2026-01-02,GBP,CNY,9.4038
2026-01-02,GBP,CZK,27.765
2026-01-02,GBP,DKK,8.5785
2026-01-02,GBP,EUR,1.1486
2026-01-02,GBP,HKD,10.5172
2026-01-02,GBP,HUF,440.5865
2026-01-02,GBP,ILS,4.3005
2026-01-02,GBP,INR,121.5933
2026-01-02,GBP,JPY,211.3484
2026-01-02,GBP,KRW,1949.5087
2026-01-02,GBP,MYR,5.4715
2026-01-02,GBP,NOK,13.5573
2026-01-02,GBP,NZD,2.3385
2026-01-02,GBP,PLN,4.8348
2026-01-02,GBP,RON,5.846
2026-01-02,GBP,SAR,5.0616
2026-01-02,GBP,SEK,12.4121
2026-01-02,GBP,SGD,1.7349
2026-01-02,GBP,THB,42.3925
2026-01-02,GBP,TRY,58.0793
2026-01-02,GBP,TWD,42.3601
2026-01-02,GBP,USD,1.3497
2026-01-02,GBP,ZAR,22.2534
2026-01-02,USD,AUD,1.4952
2026-01-02,USD,BRL,5.4373
2026-01-02,USD,CHF,0.7904
2026-01-02,USD,CNY,6.9676
2026-01-02,USD,CZK,20.572
2026-01-02,USD,DKK,6.3561
2026-01-02,USD,EUR,0.851
2026-01-02,USD,GBP,0.7409
2026-01-02,USD,HKD,7.7926
2026-01-02,USD,HUF,326.445
2026-01-02,USD,ILS,3.1864
2026-01-02,USD,INR,90.0925
2026-01-02,USD,JPY,156.595
2026-01-02,USD,KRW,1444.455
2026-01-02,USD,MYR,4.054
2026-01-02,USD,NOK,10.0451
2026-01-02,USD,NZD,1.7327
2026-01-02,USD,PLN,3.5823
2026-01-02,USD,SAR,3.7503
2026-01-02,USD,SEK,9.1966
2026-01-02,USD,SGD,1.2855
2026-01-02,USD,THB,31.41
2026-01-02,USD,TRY,43.0329
2026-01-02,USD,TWD,31.386
2026-01-02,USD,ZAR,16.4883
2026-01-05,EUR,GBP,0.8668
2026-01-05,GBP,AUD,2.013
2026-01-05,GBP,CAD,1.8565
2026-01-05,GBP,CHF,1.0717
